taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence
Fundulus_xenica,4.3871063621131,fishbase; Froese_2014,,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus xenicus,96.0
Fundulus_xenicus,4.3871063621131,fishbase; Froese_2014,,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus xenicus,99.0
Fundulus_zebrinus,5.27878318905487,fishbase; Froese_2014,,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus zebrinus,99.0
Gadiculus_argenteus,48.9799995422363,fishbase,1.0,Animalia,Chordata,,Gadiformes,Gadidae,Gadiculus,Gadiculus argenteus,99.0
Gadopsis_marmoratus,450.0,Quaardvark,1.0,Animalia,Chordata,,Perciformes,Percichthyidae,Gadopsis,Gadopsis marmoratus,99.0
Gadus_chalcogrammus,3526.37221695513,fishbase,1.0,Animalia,Chordata,,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,99.0
Gadus_macrocephalus,1000.0,Killen_etal_2016,1.0,Animalia,Chordata,,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,99.0
Gadus_minitus,24.2600494640881,Brown_etal_2018,1.0,Animalia,Chordata,,Gadiformes,Gadidae,,,92.0
Gadus_morhua,2918.316778275,Brown_etal_2018,1.0,Animalia,Chordata,,Gadiformes,Gadidae,Gadus,Gadus morhua,99.0
Gadus_ogac,180.0,Killen_etal_2016,1.0,Animalia,Chordata,,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,98.0
Gaidropsarus_argentatus,266.670779054375,fishbase; Froese_2014,,Animalia,Chordata,,Gadiformes,Lotidae,Gaidropsarus,Gaidropsarus argentatus,99.0
Gaidropsarus_mediterraneus,144.224175619837,fishbase,1.0,Animalia,Chordata,,Gadiformes,Lotidae,Gaidropsarus,Gaidropsarus mediterraneus,99.0
Gaidropsarus_vulgaris,2.971495408,rdataretriever-predator-prey-body-ratio,1.0,Animalia,Chordata,,Gadiformes,Lotidae,Gaidropsarus,Gaidropsarus vulgaris,99.0
Galaxias_gollumoides,30.5,Cai_etal_2025,1.0,Animalia,Chordata,,Osmeriformes,Galaxiidae,Galaxias,Galaxias gollumoides,99.0
Galaxias_maculatus,64.9,Cai_etal_2025,1.0,Animalia,Chordata,,Osmeriformes,Galaxiidae,Galaxias,Galaxias maculatus,99.0
Galaxias_occidentalis,32.0,fishbase,1.0,Animalia,Chordata,,Osmeriformes,Galaxiidae,Galaxias,Galaxias occidentalis,99.0
Galaxias_platei,246.8,Cai_etal_2025,1.0,Animalia,Chordata,,Osmeriformes,Galaxiidae,Galaxias,Galaxias platei,99.0
Galaxias_truttaceus,49.2,Cai_etal_2025,1.0,Animalia,Chordata,,Osmeriformes,Galaxiidae,Galaxias,Galaxias truttaceus,99.0
Galaxiella_nigrostriata,0.4,Cai_etal_2025,1.0,Animalia,Chordata,,Osmeriformes,Galaxiidae,Galaxiella,Galaxiella nigrostriata,99.0
Galeichthys_feliceps,347.809089245914,fishbase; Froese_2014,,Animalia,Chordata,,Siluriformes,Ariidae,Galeichthys,Galeichthys feliceps,99.0
Galeocharax_gulo,292.440002441406,fishbase,1.0,Animalia,Chordata,,Characiformes,Characidae,Galeocharax,Galeocharax gulo,99.0
Galeocharax_humeralis,302.681830484373,fishbase,1.0,Animalia,Chordata,,Characiformes,Characidae,Galeocharax,Galeocharax humeralis,99.0
Galeocharax_knerii,403.0,fishbase,1.0,Animalia,Chordata,,Characiformes,Characidae,Galeocharax,Galeocharax knerii,99.0
Galeoides_decadactylus,588.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Polynemidae,Galeoides,Galeoides decadactylus,99.0
Gambusia_affinis,1.1,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia affinis,99.0
Gambusia_holbrooki,1.39313167539454,fishbase; Froese_2014,,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia holbrooki,99.0
Garra_amirhosseini,4.30000019073486,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Garra,Garra amirhosseini,99.0
Garra_gotyla,779.230397383874,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Garra,Garra gotyla,99.0
Garra_imberba,522.4,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Garra,Garra imberba,99.0
Garra_kempi,12.2,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Garra,Garra kempi,99.0
Garra_lampta,3.0,Gillooly_etal_2016,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Garra,Garra lamta,93.0
Garra_mondica,3.0,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Garra,Garra mondica,99.0
Garra_mullya,150.0,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Garra,Garra mullya,99.0
Garra_naganensis,22.3199996948242,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Garra,Garra naganensis,99.0
Garra_orientalis,118.3,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Garra,Garra orientalis,99.0
Garra_qiaojiensis,43.7,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Garra,Garra qiaojiensis,99.0
Garra_rossica,8.60000038146973,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Garra,Garra rossica,99.0
