mass_g,kingdom,phylum,class,order,family,genus,species
12.34,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,Neobatrachus,Neobatrachus pictus
6.87,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,Neobatrachus,Neobatrachus sudelli
3.34,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,Neobatrachus,Neobatrachus sutor
13.8,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,Neobatrachus,Neobatrachus wilsmorei
48000.0,Animalia,Chordata,Dipneusti,Ceratodontiformes,Neoceratodontidae,Neoceratodus,Neoceratodus forsteri
10.925,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Neochelidon,Neochelidon tibialis
1250.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Neochen,Neochen jubata
13.3,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Neochmia,Neochmia modesta
8.0,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Neochmia,Neochmia phaeton
10.0,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Neochmia,Neochmia ruficauda
9.0,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Neochmia,Neochmia temporalis
69999.9999999999,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Neochoerus,Hydrochoerus pinckneyi
66.0,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Neocichla,Neocichla gutturalis
73.8333333333333,Animalia,Chordata,Aves,Passeriformes,Turdidae,Stizorhina,Stizorhina finschi
35.8,Animalia,Chordata,Aves,Passeriformes,Turdidae,Stizorhina,Stizorhina fraseri
52.4459721999698,Animalia,Chordata,Aves,Passeriformes,Turdidae,Neocossyphus,Neocossyphus poensis
67.2854367601192,Animalia,Chordata,Aves,Passeriformes,Turdidae,Neocossyphus,Neocossyphus rufus
61.15,Animalia,Chordata,Aves,Gruiformes,Rallidae,Neocrex,Neocrex colombiana
61.15,Animalia,Chordata,Aves,Gruiformes,Rallidae,Neocrex,Neocrex erythrops
32.0,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Neoctantes,Neoctantes niger
30.5,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neodon,Neodon fuscus
46.3,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neodon,Neodon irene
22500.0,Animalia,Chordata,Mammalia,Carnivora,Felidae,Neofelis,Neofelis diardi
19674.9650571481,Animalia,Chordata,Mammalia,Carnivora,Felidae,Neofelis,Neofelis nebulosa
265.999,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neofiber,Neofiber alleni
18.75,Animalia,Chordata,Mammalia,Rodentia,Muridae,Pseudohydromys,Pseudohydromys fuscus
59.5,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Neohylomys,Neohylomys hainanensis
16.85,Animalia,Chordata,Aves,Passeriformes,Monarchidae,Neolalage,Neolalage banksiana
22.1472345903501,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Neolestes,Neolestes torquatus
1043.0,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Neolithodes,Neolithodes diomedeae
6.9625,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Neomixis,Neomixis tenella
7.0,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Neomixis,Neomixis viridis
223000.0,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Neomonachus,Neomonachus schauinslandi
354.5,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Neomorphus,Neomorphus geoffroyi
330.0,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Neomorphus,Neomorphus pucheranii
399.0,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Neomorphus,Neomorphus radiolosus
354.5,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Neomorphus,Neomorphus squamiger
4.0,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Neomys,Neomys anomalus
3.75,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Neomys,Neomys fodiens
12.854,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Neomys,Neomys teres
0.0001462117344045,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Neon,Neon valentulus
6.11,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Neonycteris,Neonycteris pusilla
14.1,Animalia,Chordata,Aves,Passeriformes,Pipridae,Neopelma,Neopelma aurifrons
14.1,Animalia,Chordata,Aves,Passeriformes,Pipridae,Neopelma,Neopelma chrysolophum
18.2,Animalia,Chordata,Aves,Passeriformes,Pipridae,Neopelma,Neopelma pallescens
15.85,Animalia,Chordata,Aves,Passeriformes,Pipridae,Neopelma,Neopelma sulphureiventer
212.0,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Neophascogale,Neophascogale lorentzi
212.0,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Neophascogale,Neophascogale lorentzi
